car_id,brand,model,variant,price,fuel_type,engine_cc,transmission,mileage_kmpl,body_type,seating_capacity,source_dataset
toyota_innova,Toyota,Innova,Innova,2020000.0,CNG,800.0,Manual,27.3,Sedan,4.0,dataset2
kia_ev6,Kia,EV6,EV6,1770000.0,Diesel,2500.0,Manual,16.4,Convertible,7.0,dataset2
maruti_suzuki_dzire,Maruti Suzuki,Dzire,Dzire,3430000.0,Petrol,2000.0,Manual,17.6,Sedan,6.0,dataset2
honda_amaze,Honda,Amaze,Amaze,1610000.0,Petrol,2500.0,Manual,19.2,Convertible,6.0,dataset2
honda_city,Honda,City,City,1840000.0,Electric,1000.0,Manual,15.8,Hatchback,5.0,dataset2
kia_sonet,Kia,Sonet,Sonet,2780000.0,Petrol,1800.0,Manual,21.5,Convertible,7.0,dataset2
toyota_glanza,Toyota,Glanza,Glanza,2270000.0,CNG,1500.0,Manual,29.7,SUV,7.0,dataset2
volkswagen_taigun,Volkswagen,Taigun,Taigun,2770000.0,CNG,1800.0,Manual,20.2,Coupe,4.0,dataset2
renault_lodgy,Renault,Lodgy,Lodgy,2180000.0,Petrol,1800.0,Manual,10.5,Hatchback,5.0,dataset2
honda_jazz,Honda,Jazz,Jazz,3010000.0,CNG,1500.0,Automatic,17.2,Sedan,4.0,dataset2
honda_civic,Honda,Civic,Civic,2000000.0,Petrol,2000.0,Manual,10.8,SUV,6.0,dataset2
renault_kiger,Renault,Kiger,Kiger,820000.0,Petrol,1000.0,Automatic,29.6,Convertible,5.0,dataset2
mahindra_scorpio,Mahindra,Scorpio,Scorpio,1280000.0,Diesel,2500.0,Manual,11.1,Coupe,6.0,dataset2
tata_motors_punch,Tata Motors,Punch,Punch,490000.0,Diesel,2500.0,Automatic,19.2,Sedan,5.0,dataset2
toyota_fortuner,Toyota,Fortuner,Fortuner,540000.0,CNG,1000.0,Automatic,14.9,SUV,4.0,dataset2
skoda_kushaq,Skoda,Kushaq,Kushaq,3360000.0,Petrol,1200.0,Automatic,21.8,Hatchback,7.0,dataset2
tata_motors_tiago,Tata Motors,Tiago,Tiago,910000.0,CNG,1200.0,Manual,13.5,Coupe,6.0,dataset2
skoda_superb,Skoda,Superb,Superb,1780000.0,CNG,1200.0,Manual,26.9,Convertible,7.0,dataset2
toyota_camry,Toyota,Camry,Camry,2890000.0,Electric,1200.0,Automatic,12.2,SUV,5.0,dataset2
mahindra_xuv700,Mahindra,XUV700,XUV700,1470000.0,Electric,1500.0,Automatic,21.3,Convertible,5.0,dataset2
toyota,Toyota,,,2520000.0,Petrol,2000.0,Manual - 5 Gears,16.5,SUV,5.0,dataset2
maruti_suzuki_ertiga,Maruti Suzuki,Ertiga,Ertiga,940000.0,Electric,1000.0,Automatic,15.6,Convertible,4.0,dataset2
tata_motors_altroz,Tata Motors,Altroz,Altroz,2820000.0,Electric,2500.0,Manual,21.4,Convertible,5.0,dataset2
tata_motors_harrier,Tata Motors,Harrier,Harrier,1530000.0,Diesel,2500.0,Manual,13.9,Hatchback,6.0,dataset2
kia_carnival,Kia,Carnival,Carnival,950000.0,Diesel,1500.0,Automatic,10.1,SUV,5.0,dataset2
volkswagen_polo,Volkswagen,Polo,Polo,2590000.0,CNG,1500.0,Automatic,28.8,Convertible,7.0,dataset2
maruti_suzuki_swift,Maruti Suzuki,Swift,Swift,1920000.0,Diesel,1500.0,Manual,11.9,Hatchback,7.0,dataset2
hyundai_verna,Hyundai,Verna,Verna,1730000.0,Diesel,1800.0,Automatic,23.0,Hatchback,7.0,dataset2
skoda_slavia,Skoda,Slavia,Slavia,3290000.0,Diesel,1800.0,Automatic,10.7,Convertible,6.0,dataset2
tata_motors_nexon,Tata Motors,Nexon,Nexon,1860000.0,CNG,1200.0,Manual,19.9,Hatchback,5.0,dataset2
volkswagen_virtus,Volkswagen,Virtus,Virtus,450000.0,Diesel,1200.0,Manual,14.0,Convertible,4.0,dataset2
volkswagen_tiguan,Volkswagen,Tiguan,Tiguan,3160000.0,Petrol,1800.0,Manual,18.7,Sedan,6.0,dataset2
skoda_octavia,Skoda,Octavia,Octavia,2900000.0,CNG,2500.0,Automatic,13.5,SUV,4.0,dataset2
kia_seltos,Kia,Seltos,Seltos,1410000.0,Electric,2000.0,Manual,12.6,Convertible,5.0,dataset2
mahindra_bolero,Mahindra,Bolero,Bolero,2480000.0,Petrol,1200.0,Automatic,22.0,Coupe,4.0,dataset2
mahindra_thar,Mahindra,Thar,Thar,1860000.0,Electric,2000.0,Automatic,25.1,Hatchback,7.0,dataset2
hyundai_i10,Hyundai,i10,i10,2830000.0,Petrol,800.0,Automatic,17.2,SUV,5.0,dataset2
hyundai_venue,Hyundai,Venue,Venue,1680000.0,Electric,2500.0,Automatic,24.1,Sedan,6.0,dataset2
skoda_rapid,Skoda,Rapid,Rapid,1700000.0,Electric,800.0,Automatic,15.8,Coupe,4.0,dataset2
hyundai_creta,Hyundai,Creta,Creta,1720000.0,Electric,2500.0,Manual,23.0,Hatchback,6.0,dataset2
honda_wr-v,Honda,WR-V,WR-V,940000.0,Electric,1500.0,Automatic,25.7,Hatchback,4.0,dataset2
mahindra_xuv300,Mahindra,XUV300,XUV300,2150000.0,Petrol,1800.0,Automatic,13.0,Hatchback,6.0,dataset2
hyundai_i20,Hyundai,i20,i20,2070000.0,Diesel,2500.0,Automatic,15.5,Sedan,5.0,dataset2
toyota_urban_cruiser,Toyota,Urban Cruiser,Urban Cruiser,850000.0,Diesel,1800.0,Automatic,15.3,Hatchback,5.0,dataset2
volkswagen_vento,Volkswagen,Vento,Vento,1770000.0,Electric,1200.0,Manual,13.6,Hatchback,5.0,dataset2
maruti_suzuki_baleno,Maruti Suzuki,Baleno,Baleno,1370000.0,Diesel,1200.0,Manual,26.0,Hatchback,7.0,dataset2
tata_motors,Tata Motors,,,2060000.0,Petrol,1800.0,Manual - 5 Gears,28.8,SUV,5.0,dataset2
kia_carens,Kia,Carens,Carens,1370000.0,Petrol,2500.0,Manual,23.5,Sedan,7.0,dataset2
renault_kwid,Renault,Kwid,Kwid,1040000.0,CNG,1200.0,Automatic,12.2,Convertible,7.0,dataset2
renault_duster,Renault,Duster,Duster,3440000.0,Petrol,1200.0,Manual,17.9,SUV,7.0,dataset2
renault_triber,Renault,Triber,Triber,2710000.0,Diesel,1500.0,Automatic,18.6,Convertible,4.0,dataset2
maruti_suzuki_wagonr,Maruti Suzuki,WagonR,WagonR,700000.0,Petrol,1000.0,Manual,17.3,SUV,5.0,dataset2
sonet,,Sonet,Sonet,1540000.0,Petrol,2500.0,Manual - 5 Gears,28.4,SUV,5.0,dataset2
nexon,,Nexon,Nexon,1290000.0,Petrol,2500.0,Manual - 5 Gears,21.1,SUV,5.0,dataset2
maruti_suzuki,Maruti Suzuki,,,3110000.0,Petrol,2500.0,Manual - 5 Gears,21.8,SUV,5.0,dataset2
carnival,,Carnival,Carnival,3490000.0,Petrol,1500.0,Manual - 5 Gears,17.1,SUV,5.0,dataset2
tata_nano_genx_xt,Tata,Nano Genx,Xt,,Petrol,,Manual - 5 Gears,23.6 km/litre,Hatchback,4.0,dataset6
tata_nano_genx_xe,Tata,Nano Genx,Xe,,Petrol,,Manual - 5 Gears,23.6 km/litre,Hatchback,4.0,dataset6
tata_nano_genx_emax_xm,Tata,Nano Genx,Emax Xm,,CNG,,Manual - 5 Gears,,Hatchback,4.0,dataset6
tata_nano_genx_xta,Tata,Nano Genx,Xta,,Petrol,,Manual - 5 Gears,21.9 km/litre,Hatchback,4.0,dataset6
tata_nano_genx_xm,Tata,Nano Genx,Xm,,Petrol,,Manual - 5 Gears,23.6 km/litre,Hatchback,4.0,dataset6
tata_nano_genx_xma,Tata,Nano Genx,Xma,,Petrol,,Manual - 5 Gears,21.9 km/litre,Hatchback,4.0,dataset6
datsun_redi-go_d,Datsun,Redi-Go,D,,Petrol,,Manual - 5 Gears,25.17 km/litre,Hatchback,5.0,dataset6
datsun_redi-go_t,Datsun,Redi-Go,T,,Petrol,,Manual - 5 Gears,25.17 km/litre,Hatchback,5.0,dataset6
datsun_redi-go_a,Datsun,Redi-Go,A,,Petrol,,Manual - 5 Gears,25.17 km/litre,Hatchback,5.0,dataset6
datsun_redi-go_s,Datsun,Redi-Go,S,,Petrol,,Manual - 5 Gears,25.17 km/litre,Hatchback,5.0,dataset6
datsun_redi-go_1.0_s,Datsun,Redi-Go,1.0 S,,Petrol,,Manual - 5 Gears,22.5 km/litre,Hatchback,5.0,dataset6
datsun_redi-go_1.0_s_amt,Datsun,Redi-Go,1.0 S Amt,,Petrol,,Manual - 5 Gears,23 km/litre,Hatchback,5.0,dataset6
renault_kwid_rxe_0.8,Renault,Kwid,Rxe 0.8,,Petrol,,Automatic,25.17 km/litre,Hatchback,5.0,dataset6
renault_kwid_std_0.8,Renault,Kwid,Std 0.8,,Petrol,,Automatic,25.17 km/litre,Hatchback,5.0,dataset6
renault_kwid_rxl_0.8,Renault,Kwid,Rxl 0.8,,Petrol,,Automatic,25.17 km/litre,Hatchback,5.0,dataset6
renault_kwid_rxt_0.8,Renault,Kwid,Rxt 0.8,,Petrol,,Automatic,25.17 km/litre,Hatchback,5.0,dataset6
renault_kwid_rxt_1.0,Renault,Kwid,Rxt 1.0,,Petrol,,Automatic,23.01 km/litre,Hatchback,5.0,dataset6
renault_kwid_climber_1.0_mt,Renault,Kwid,Climber 1.0 Mt,,Petrol,,Automatic,23.01 km/litre,Hatchback,5.0,dataset6
renault_kwid_rxt_amt_1.0,Renault,Kwid,Rxt Amt 1.0,,Petrol,,Automatic,24.04 km/litre,Hatchback,5.0,dataset6
renault_kwid_climber_amt_1.0,Renault,Kwid,Climber Amt 1.0,,Petrol,,Automatic,24.04 km/litre,Hatchback,5.0,dataset6
renault_kwid_rxt_(o)_1.0,Renault,Kwid,Rxt (O) 1.0,,Petrol,,Automatic,23.01 km/litre,Hatchback,5.0,dataset6
renault_kwid_rxt_(o)_amt_1.0,Renault,Kwid,Rxt (O) Amt 1.0,,Petrol,,Automatic,23.01 km/litre,Hatchback,5.0,dataset6
renault_kwid_climber_(o)_mt_1.0,Renault,Kwid,Climber (O) Mt 1.0,,Petrol,,Automatic,23.01 km/litre,Hatchback,5.0,dataset6
renault_kwid_climber_(o)_amt_1.0,Renault,Kwid,Climber (O) Amt 1.0,,Petrol,,Automatic,24.04 km/litre,Hatchback,5.0,dataset6
maruti_suzuki_eeco_5_str,Maruti Suzuki,Eeco,5 Str,,Petrol,,Manual - 5 Gears,15 km/litre,MPV,5.0,dataset6
