brand,model,year,kilometers_driven,owner_type,fuel_type,price_lakhs
Maruti,S PRESSO,2022.0,3878,1,PETROL,5.14
Hyundai,Xcent,2018.0,32041,1,PETROL,6.74
Tata,Safari,2021.0,96339,1,DIESEL,19.52
Maruti,Vitara Brezza,2019.0,51718,1,DIESEL,6.9
Tata,Tiago,2021.0,19811,1,PETROL,5.26
Maruti,Swift,2017.0,70129,1,PETROL,5.52
Hyundai,i20,2012.0,103781,1,PETROL,2.78
Renault,Kwid,2021.0,31945,2,PETROL,5.18
Hyundai,Grand i10,2015.0,39950,1,PETROL,4.43
Maruti,Swift,2018.0,56697,1,DIESEL,7.1035
Maruti,IGNIS,2018.0,38184,2,CNG,5.48
Maruti,S PRESSO,2019.0,30347,1,PETROL,4.81
Honda,Brio,2012.0,42375,2,PETROL,3.12
Hyundai,Elite i20,2019.0,47231,1,PETROL,6.13
Honda,City,2014.0,111577,1,PETROL,5.03
Maruti,Baleno,2018.0,60042,1,PETROL,6.14
Honda,WR-V,2017.0,93518,1,DIESEL,6.93
Honda,Amaze,2019.0,33245,1,PETROL,4.39
Maruti,Alto 800,2016.0,43717,1,PETROL,2.94
Maruti,Celerio,2021.0,1863,1,PETROL,7.16
Ford,Ecosport,2019.0,50078,1,PETROL,8.36
Maruti,Ciaz,2018.0,63856,1,PETROL,7.94
Renault,Kwid,2018.0,72337,1,PETROL,3.24
Maruti,Swift,2021.0,14567,1,PETROL,6.78
Hyundai,Elite i20,2018.0,36778,1,CNG,5.87
Hyundai,Elite i20,2015.0,50419,1,PETROL,4.74
Honda,City,2010.0,45257,1,DIESEL,6.08
Maruti,Swift,2016.0,40368,1,PETROL,4.77
Datsun,Redi Go,2016.0,37488,1,PETROL,2.05
Tata,TIAGO NRG,2019.0,43253,1,PETROL,5.74
Renault,Kwid,2022.0,6587,1,PETROL,5.72
Honda,Amaze,2019.0,37566,2,PETROL,6.35
Hyundai,Santro Xing,2011.0,33952,2,PETROL,1.69
Ford,FREESTYLE,2018.0,31679,1,PETROL,6.11
Maruti,Swift,2018.0,98221,2,CNG,5.58
Maruti,Baleno,2016.0,45836,1,PETROL,5.2
Honda,Amaze,2018.0,75883,1,CNG,4.83
Maruti,Dzire,2021.0,27480,1,PETROL,7.07
Maruti,Ciaz,2017.0,61250,1,DIESEL,7.96
Maruti,Alto,2021.0,16516,1,CNG,4.83
Hyundai,NEW SANTRO,2019.0,57656,1,CNG,4.82
Maruti,Baleno,2017.0,33669,2,PETROL,6.75
Maruti,Celerio,2018.0,124206,2,PETROL,3.73
Maruti,Alto 800,2018.0,36722,1,PETROL,3.24
Honda,City,2010.0,87722,1,DIESEL,4.48
Maruti,Celerio,2015.0,62663,2,PETROL,3.77
Honda,WR-V,2017.0,38022,1,PETROL,5.81
Maruti,Swift,2019.0,28956,1,PETROL,5.72
Maruti,Swift,2015.0,119106,2,PETROL,4.9
Hyundai,Grand i10,2017.0,71686,1,PETROL,4.17
Maruti,Alto K10,2017.0,45785,1,PETROL,3.47
Ford,Endeavour,2019.0,94389,1,DIESEL,21.92
Maruti,Ciaz,2017.0,30052,1,PETROL,5.7
Honda,Amaze,2019.0,99520,1,PETROL,3.26
Maruti,Swift Dzire,2013.0,69372,1,PETROL,7.08
Maruti,Wagon R 1.0,2014.0,21799,1,PETROL,3.51
Maruti,Swift,2014.0,69045,1,PETROL,4.01
Maruti,Alto,2020.0,26533,1,CNG,4.06
Hyundai,GRAND I10 NIOS,2020.0,44937,1,CNG,6.28
Hyundai,Grand i10,2017.0,75370,1,PETROL,4.68
Honda,City,2017.0,4756,1,PETROL,9.4
Maruti,Alto K10,2012.0,39085,1,PETROL,2.08
Maruti,Celerio X,2018.0,32891,1,PETROL,5.95
Hyundai,Grand i10,2017.0,35775,1,PETROL,5.15
Toyota,URBAN CRUISER,2021.0,37618,1,PETROL,10.1
Ford,Ecosport,2015.0,67486,3,PETROL,5.05
Hyundai,Grand i10,2018.0,15290,2,PETROL,4.69
Honda,Amaze,2017.0,97313,2,PETROL,4.01
Mahindra,XUV500,2018.0,105290,1,DIESEL,12.22
Hyundai,Elite i20,2014.0,65354,1,PETROL,5.23
Hyundai,Verna,2017.0,28991,1,PETROL,7.14
Honda,WR-V,2019.0,72139,1,CNG,7.72
Maruti,Alto,2022.0,8502,1,CNG,5.28
Maruti,Alto K10,2018.0,48617,1,PETROL,3.65
Maruti,Swift Dzire,2015.0,106877,1,PETROL,2.24
Hyundai,VENUE,2019.0,50050,1,PETROL,8.97
Tata,NEXON,2017.0,69430,1,PETROL,7.07
Maruti,Baleno,2016.0,68815,1,PETROL,5.84
Maruti,Baleno,2016.0,64759,1,PETROL,5.45
Maruti,Wagon R 1.0,2016.0,40417,1,PETROL,4.01
Maruti,Baleno,2018.0,68101,1,PETROL,6.91
Honda,City,2019.0,64853,2,PETROL,3.38
Mahindra,KUV 100 NXT,2017.0,51642,1,DIESEL,5.07
Maruti,Alto K10,2018.0,24502,2,PETROL,2.93
Hyundai,Elite i20,2016.0,60350,1,PETROL,6.29
Maruti,Alto 800,2014.0,71000,2,PETROL,2.34
Toyota,YARIS,2021.0,66161,2,PETROL,6.62
Maruti,Wagon R 1.0,2015.0,64154,1,PETROL,3.25
Mahindra,XUV 3OO,2020.0,21270,1,DIESEL,10.64
Hyundai,Santro Xing,2010.0,90382,2,PETROL,2.05
Honda,City,2018.0,49423,1,PETROL,8.1
Hyundai,Elite i20,2016.0,47227,1,PETROL,5.88
Renault,TRIBER,2021.0,24236,1,PETROL,6.77
Hyundai,Tucson New,2018.0,86933,2,PETROL,12.21
Mahindra,TUV300,2017.0,58157,1,DIESEL,8.17
Toyota,Glanza,2020.0,35636,1,PETROL,8.09
Maruti,Ciaz,2017.0,45639,2,PETROL,4.28
Honda,City,2016.0,53355,1,PETROL,6.78
Maruti,Baleno,2017.0,88993,1,PETROL,6.19
Maruti,Eeco,2022.0,2075,1,CNG,5.52
Renault,Duster,2014.0,59943,1,PETROL,4.46
Renault,Duster,2020.0,20743,1,PETROL,9.42
Maruti,Swift,2014.0,33869,1,DIESEL,5.07
Honda,City,2016.0,71731,2,PETROL,6.27
Hyundai,GRAND I10 NIOS,2019.0,25955,2,PETROL,5.65
Ford,Ecosport,2018.0,47942,1,PETROL,8.44
Maruti,Wagon R 1.0,2014.0,63838,2,PETROL,2.81
Maruti,Swift Dzire,2012.0,50854,2,PETROL,2.94
Maruti,Alto,2020.0,18534,1,PETROL,3.68
Hyundai,Elite i20,2016.0,118327,2,DIESEL,6.13
Toyota,URBAN CRUISER,2020.0,22389,1,PETROL,7.51
Mahindra,XUV500,2018.0,105759,2,DIESEL,11.96
Maruti,Alto 800,2015.0,30790,1,PETROL,2.53
Honda,City,2010.0,68137,1,PETROL,7.37
Hyundai,i10,2012.0,35125,2,PETROL,3.08
Hyundai,Elite i20,2018.0,67281,2,PETROL,6.9
Hyundai,NEW SANTRO,2018.0,80229,1,CNG,4.36
Hyundai,NEW SANTRO,2018.0,22533,1,PETROL,5.05
Hyundai,NEW SANTRO,2019.0,27153,2,PETROL,4.86
Nissan,MAGNITE,2021.0,66065,1,PETROL,7.5
Honda,City,2018.0,53612,2,PETROL,5.91
Hyundai,Grand i10,2017.0,23376,1,PETROL,5.35
KIA,SONET,2021.0,22542,1,PETROL,11.41
Tata,Safari,2021.0,25239,1,DIESEL,18.1
Ford,FREESTYLE,2020.0,37077,1,PETROL,6.33
Maruti,Alto 800,2017.0,54791,1,PETROL,3.31
Maruti,Ertiga,2012.0,100274,1,DIESEL,4.16
Hyundai,Elite i20,2016.0,74317,1,PETROL,4.83
Maruti,Ciaz,2017.0,70660,1,PETROL,7.76
Ford,Ecosport,2019.0,57675,1,CNG,7.96
Hyundai,Grand i10,2019.0,32033,1,PETROL,5.93
Hyundai,i10,2010.0,99873,1,PETROL,1.62
Maruti,Wagon R 1.0,2018.0,10409,1,PETROL,4.86
Honda,Jazz,2016.0,31130,1,PETROL,4.61
KIA,SELTOS,2020.0,96537,2,PETROL,9.06
Renault,Duster,2013.0,92379,1,DIESEL,3.62
Maruti,Swift Dzire,2014.0,26337,2,PETROL,6.21
Nissan,MAGNITE,2021.0,25725,1,PETROL,8.58
Hyundai,Grand i10,2019.0,15100,1,PETROL,6.06
Hyundai,GRAND I10 NIOS,2021.0,27546,1,PETROL,6.92
Maruti,Wagon R 1.0,2018.0,32330,1,PETROL,4.49
Honda,Amaze,2019.0,18152,1,PETROL,6.89
Maruti,Dzire,2017.0,71321,2,PETROL,7.01
Maruti,Alto K10,2012.0,80172,2,PETROL,1.973
Maruti,Swift,2018.0,44602,1,PETROL,6.54
Toyota,YARIS,2018.0,39299,1,PETROL,9.01
Honda,Brio,2012.0,52092,2,PETROL,3.32
Volkswagen,Ameo,2018.0,19158,1,PETROL,6.54
Renault,Kiger,2021.0,20044,1,PETROL,6.75
Maruti,Wagon R 1.0,2014.0,44752,1,PETROL,3.53
Honda,Accord,2013.0,114653,1,PETROL,1.9
Datsun,Redi Go,2018.0,30732,1,PETROL,2.62
Maruti,Swift Dzire,2012.0,14799,1,PETROL,4.68
Maruti,Dzire,2018.0,43525,1,PETROL,6.74
Hyundai,Grand i10,2017.0,92995,2,PETROL,4.42
Hyundai,NEW I20,2021.0,14261,1,PETROL,7.63
Honda,Amaze,2013.0,9415,1,PETROL,7.23
Maruti,Celerio,2018.0,17547,1,PETROL,4.88
Maruti,Celerio,2017.0,49344,1,PETROL,4.71
Hyundai,Elite i20,2019.0,18690,1,PETROL,7.51
Tata,NEXON,2018.0,83234,1,DIESEL,5.26
Maruti,Ciaz,2021.0,17752,1,PETROL,7.61
Honda,Amaze,2021.0,97084,1,PETROL,4.22
Hyundai,Xcent,2015.0,40791,2,PETROL,4.44
Tata,ALTROZ,2020.0,35197,1,DIESEL,7.87
Maruti,Vitara Brezza,2018.0,73081,1,DIESEL,6.35
Maruti,Wagon R 1.0,2018.0,58165,2,PETROL,3.83
Maruti,Wagon R 1.0,2011.0,22866,1,PETROL,2.2
Maruti,Baleno,2017.0,54410,1,PETROL,4.96
Maruti,Wagon R 1.0,2017.0,14524,1,PETROL,4.63
Renault,Kwid,2015.0,66995,2,PETROL,2.83
Maruti,Wagon R 1.0,2017.0,75537,1,CNG,3.7425
Maruti,Dzire,2017.0,39198,1,PETROL,9.73
Maruti,Baleno,2016.0,74270,2,DIESEL,5.45
Maruti,Baleno,2017.0,36573,3,PETROL,6.1
Maruti,A Star,2010.0,64103,2,PETROL,2.21
Maruti,Alto 800,2018.0,26158,1,PETROL,3.43
Maruti,Alto,2019.0,60299,1,PETROL,3.8
Maruti,Baleno,2017.0,32343,1,PETROL,6.03
Maruti,Ciaz,2015.0,123077,2,DIESEL,5.6935
Hyundai,Elite i20,2017.0,29201,2,PETROL,5.61
Honda,City,2017.0,71105,1,PETROL,6.27
Maruti,Swift Dzire,2012.0,73399,1,PETROL,4.19
Maruti,Swift Dzire,2013.0,41312,1,PETROL,4.51
Maruti,Baleno,2017.0,34102,1,PETROL,6.24
Hyundai,i10,2011.0,69532,1,PETROL,3.43
Maruti,Vitara Brezza,2020.0,41465,2,DIESEL,7.26
Maruti,Ritz,2014.0,75638,2,PETROL,3.78
Maruti,Dzire,2019.0,51377,1,PETROL,6.72
Maruti,Swift Dzire,2014.0,35872,1,PETROL,3.36
Honda,Jazz,2015.0,74079,2,PETROL,4.28
Maruti,Wagon R 1.0,2011.0,79275,1,PETROL,2.02
Hyundai,Grand i10,2018.0,27721,1,PETROL,4.97
Maruti,Swift,2018.0,21347,1,PETROL,5.59
Maruti,IGNIS,2017.0,59811,1,PETROL,5.37
Nissan,Micra,2018.0,89172,1,PETROL,4.49
Maruti,Baleno,2019.0,31867,1,PETROL,6.8
Hyundai,i20,2012.0,39845,1,PETROL,3.2
Maruti,Alto K10,2015.0,67182,2,PETROL,3.48
Mahindra,XUV500,2018.0,69690,1,DIESEL,11.87
Renault,Kwid,2019.0,66740,1,PETROL,4.01
Honda,Brio,2014.0,70683,2,PETROL,2.86
Maruti,Swift,2019.0,39280,2,PETROL,5.72
Maruti,Vitara Brezza,2019.0,41265,2,DIESEL,9.14
Hyundai,Verna,2017.0,58942,1,PETROL,8.02
Hyundai,i20,2014.0,36766,2,PETROL,5.25
Hyundai,Eon,2016.0,33476,1,PETROL,3.27
Hyundai,Creta,2015.0,99951,2,PETROL,6.9
Tata,Tiago,2021.0,12060,1,PETROL,6.67
Tata,Tiago,2019.0,30214,1,PETROL,4.77
Ford,Ecosport,2016.0,46706,1,PETROL,6.92
Maruti,Wagon R 1.0,2014.0,53706,1,PETROL,3.27
Hyundai,Grand i10,2014.0,59973,1,PETROL,4.4
Maruti,Alto,2020.0,61703,1,PETROL,3.33
Hyundai,Eon,2015.0,43724,1,PETROL,2.99
Maruti,Baleno,2017.0,26371,1,PETROL,5.29
Hyundai,Verna,2017.0,114451,1,DIESEL,8.0
Maruti,Celerio,2020.0,81389,1,CNG,4.97
Ford,Ecosport,2017.0,33921,1,PETROL,7.22
Mahindra,Bolero,2020.0,47559,2,DIESEL,7.62
Maruti,Alto K10,2010.0,54671,1,PETROL,2.33
Hyundai,i10,2010.0,50831,3,PETROL,2.41
Maruti,Celerio,2020.0,50393,1,CNG,5.07
Hyundai,VENUE,2021.0,16860,2,PETROL,10.07
Maruti,Dzire,2020.0,69384,2,DIESEL,6.76
Renault,Duster,2016.0,52851,1,DIESEL,5.73
Maruti,Alto 800,2015.0,61979,1,PETROL,2.77
Hyundai,i10,2011.0,72666,1,PETROL,2.37
Maruti,IGNIS,2020.0,52819,1,PETROL,6.11
Renault,Kwid,2019.0,19797,1,PETROL,3.44
Hyundai,NEW SANTRO,2018.0,39198,2,PETROL,5.38
Honda,City,2016.0,16856,1,PETROL,7.02
Toyota,Etios Liva,2014.0,73506,1,PETROL,2.698
Maruti,Ciaz,2015.0,51252,1,PETROL,7.16
Maruti,Alto,2019.0,20494,1,PETROL,3.24
Maruti,Ciaz,2018.0,14290,1,PETROL,13.68
Honda,Jazz,2017.0,50359,1,PETROL,6.96
Renault,Kwid,2018.0,9889,1,PETROL,3.5
Maruti,Wagon R 1.0,2014.0,40670,1,CNG,3.76
Renault,TRIBER,2022.0,5303,1,PETROL,7.19
Maruti,Celerio,2016.0,63509,1,PETROL,4.13
Hyundai,NEW I20,2021.0,17449,2,DIESEL,8.56
Maruti,Baleno,2019.0,43476,2,PETROL,5.88
Honda,Amaze,2021.0,11799,1,PETROL,7.99
Maruti,Wagon R 1.0,2014.0,52914,1,PETROL,3.64
Hyundai,Santro Xing,2011.0,73284,2,PETROL,2.18
Hyundai,GRAND I10 NIOS,2019.0,55115,2,PETROL,5.35
Maruti,Celerio,2016.0,40547,1,PETROL,4.52
Maruti,Wagon R 1.0,2013.0,50244,1,PETROL,2.98
Renault,Kwid,2018.0,46656,1,PETROL,3.52
Honda,City,2014.0,36222,2,PETROL,5.57
Honda,Brio,2012.0,66201,2,PETROL,2.79
Hyundai,Verna,2019.0,66427,1,PETROL,9.74
Maruti,New Wagon-R,2021.0,77064,1,CNG,5.94
Maruti,Dzire,2018.0,111035,1,PETROL,5.12
Maruti,IGNIS,2019.0,21167,1,PETROL,6.51
Nissan,Micra Active,2018.0,81680,1,PETROL,3.99
Honda,Amaze,2018.0,34578,1,PETROL,11.11
Toyota,YARIS,2018.0,31428,2,PETROL,8.07
Hyundai,VENUE,2021.0,20357,2,PETROL,7.81
Hyundai,GRAND I10 NIOS,2019.0,18111,1,PETROL,6.54
Hyundai,NEW SANTRO,2021.0,11041,1,PETROL,5.29
Maruti,Dzire,2020.0,74490,1,PETROL,6.02
Hyundai,GRAND I10 NIOS,2020.0,29284,1,PETROL,7.13
Maruti,Swift,2019.0,81694,1,CNG,5.37
Maruti,Dzire,2018.0,72038,3,DIESEL,5.76
Maruti,Swift Dzire,2013.0,57512,1,PETROL,4.67
Maruti,Swift,2019.0,37732,1,PETROL,6.01
Maruti,Dzire,2018.0,51133,1,DIESEL,6.3
Renault,Duster,2019.0,47944,1,PETROL,7.62
Ford,Ecosport,2017.0,33493,1,PETROL,7.77
Maruti,Swift,2017.0,21083,1,PETROL,5.44
Tata,Harrier,2020.0,44616,1,DIESEL,17.4
Maruti,Baleno,2019.0,53219,1,PETROL,6.28
Maruti,Alto K10,2010.0,60180,2,PETROL,1.77
KIA,SONET,2022.0,5758,1,DIESEL,14.31
Maruti,Baleno,2017.0,89581,1,PETROL,6.46
Datsun,Redi Go,2017.0,115401,1,PETROL,2.13
Maruti,Ciaz,2018.0,52698,1,PETROL,3.61
Maruti,Swift,2019.0,47262,1,PETROL,6.05
Hyundai,Grand i10,2017.0,16634,2,PETROL,5.33
Tata,TIGOR,2017.0,110311,1,PETROL,4.41
Honda,City,2014.0,54759,1,PETROL,5.08
Maruti,Alto 800,2013.0,48444,1,PETROL,2.86
Maruti,Swift Dzire,2015.0,42976,1,PETROL,4.76
Maruti,Swift,2017.0,52382,1,PETROL,6.76
Hyundai,i10,2012.0,24918,2,PETROL,2.69
Tata,Tiago,2018.0,44315,1,PETROL,4.67
Maruti,Vitara Brezza,2018.0,48451,1,DIESEL,9.3
Maruti,IGNIS,2022.0,12699,1,PETROL,7.32
Maruti,Ciaz,2018.0,24385,1,PETROL,7.48
Hyundai,Grand i10,2016.0,71337,1,PETROL,4.51
Renault,Kwid,2016.0,83219,1,PETROL,2.7
Maruti,Baleno,2016.0,43655,1,PETROL,6.3
Honda,City,2014.0,45165,2,PETROL,7.79
Tata,PUNCH,2022.0,7125,1,PETROL,7.25
Hyundai,Creta,2018.0,32209,1,PETROL,11.88
Maruti,New Wagon-R,2019.0,85969,1,CNG,4.96
Maruti,Swift,2019.0,31286,1,PETROL,6.9
Volkswagen,Polo,2021.0,30088,1,PETROL,7.61
Maruti,Alto K10,2015.0,61108,1,PETROL,2.81
Renault,Duster,2016.0,93415,1,DIESEL,6.08
Maruti,Alto 800,2017.0,57971,2,PETROL,2.6
Hyundai,Elite i20,2014.0,76697,3,DIESEL,5.2
Hyundai,VENUE,2020.0,11066,1,PETROL,10.9
