Unnamed: 0,car_name,year,kilometers_driven,owner_type,fuel_type,location,drive_type,body_type,price,brand,model,owner_type_str,price_lakhs
0,Maruti S PRESSO,2022.0,3878,1,PETROL,HR-98,Manual,HatchBack,514000,Maruti,S PRESSO,First,5.14
1,Hyundai Xcent,2018.0,32041,1,PETROL,TN-22,Manual,Sedan,674000,Hyundai,Xcent,First,6.74
2,Tata Safari,2021.0,96339,1,DIESEL,TS-08,Automatic,SUV,1952000,Tata,Safari,First,19.52
3,Maruti Vitara Brezza,2019.0,51718,1,DIESEL,WB-24,Manual,SUV,690000,Maruti,Vitara Brezza,First,6.9
4,Tata Tiago,2021.0,19811,1,PETROL,HR-51,Manual,HatchBack,526000,Tata,Tiago,First,5.26
5,Maruti Swift,2017.0,70129,1,PETROL,MH-14,Manual,HatchBack,552000,Maruti,Swift,First,5.52
6,Hyundai i20,2012.0,103781,1,PETROL,,Manual,HatchBack,278000,Hyundai,i20,First,2.78
7,Renault Kwid,2021.0,31945,2,PETROL,UP-32,Automatic,HatchBack,518000,Renault,Kwid,Second,5.18
8,Hyundai Grand i10,2015.0,39950,1,PETROL,HR-26,Manual,HatchBack,443000,Hyundai,Grand i10,First,4.43
9,Maruti Swift,2018.0,56697,1,DIESEL,KA-04,Automatic,HatchBack,710350,Maruti,Swift,First,7.1035
10,Maruti IGNIS,2018.0,38184,2,CNG,PB-10,Automatic,HatchBack,548000,Maruti,IGNIS,Second,5.48
11,Maruti S PRESSO,2019.0,30347,1,PETROL,MH-48,Automatic,HatchBack,481000,Maruti,S PRESSO,First,4.81
12,Honda Brio,2012.0,42375,2,PETROL,GJ-05,Manual,HatchBack,312000,Honda,Brio,Second,3.12
13,Hyundai Elite i20,2019.0,47231,1,PETROL,GJ-27,Manual,HatchBack,613000,Hyundai,Elite i20,First,6.13
14,Honda City,2014.0,111577,1,PETROL,,Manual,Sedan,503000,Honda,City,First,5.03
15,Maruti Baleno,2018.0,60042,1,PETROL,MH-47,Manual,HatchBack,614000,Maruti,Baleno,First,6.14
16,Honda WR-V,2017.0,93518,1,DIESEL,KA-01,Manual,SUV,693000,Honda,WR-V,First,6.93
